carrs_fup,variable,est,value,type,group
CARRS2_Baseline,car,missing,0,Proportion,NA
CARRS2_Baseline,scooter,proportion,56.91554467564259,Proportion,NA
CARRS2_Baseline,scooter,freq,8987,Proportion,NA
CARRS2_Baseline,scooter,missing,0,Proportion,NA
CARRS2_Baseline,bicycle,proportion,24.95827306108824,Proportion,NA
CARRS2_Baseline,bicycle,freq,8987,Proportion,NA
CARRS2_Baseline,bicycle,missing,0,Proportion,NA
CARRS1_Baseline,sex,proportion,45.88699626090569,Grouped,1
CARRS1_Baseline,sex,freq,4418,Grouped,1
CARRS1_Baseline,sex,proportion,54.11300373909431,Grouped,2
CARRS1_Baseline,sex,freq,5210,Grouped,2
CARRS1_Followup,sex,proportion,45.633187772925766,Grouped,1
CARRS1_Followup,sex,freq,3135,Grouped,1
CARRS1_Followup,sex,proportion,54.366812227074234,Grouped,2
CARRS1_Followup,sex,freq,3735,Grouped,2
CARRS2_Baseline,sex,proportion,46.54500945810615,Grouped,1
CARRS2_Baseline,sex,freq,4183,Grouped,1
CARRS2_Baseline,sex,proportion,53.45499054189385,Grouped,2
CARRS2_Baseline,sex,freq,4804,Grouped,2
CARRS1_Baseline,religion,proportion,80.77482343165767,Grouped,Hindu
CARRS1_Baseline,religion,freq,7777,Grouped,Hindu
CARRS1_Baseline,religion,proportion,9.617781470710428,Grouped,Islam
CARRS1_Baseline,religion,freq,926,Grouped,Islam
CARRS1_Baseline,religion,proportion,9.607395097631906,Grouped,Other
CARRS1_Baseline,religion,freq,925,Grouped,Other
CARRS1_Followup,religion,proportion,81.73216885007278,Grouped,Hindu
CARRS1_Followup,religion,freq,5615,Grouped,Hindu
CARRS1_Followup,religion,proportion,8.631732168850073,Grouped,Islam
CARRS1_Followup,religion,freq,593,Grouped,Islam
CARRS1_Followup,religion,proportion,9.636098981077147,Grouped,Other
CARRS1_Followup,religion,freq,662,Grouped,Other
CARRS2_Baseline,religion,proportion,82.27439635028374,Grouped,Hindu
CARRS2_Baseline,religion,freq,7394,Grouped,Hindu
CARRS2_Baseline,religion,proportion,9.1242906420385,Grouped,Islam
CARRS2_Baseline,religion,freq,820,Grouped,Islam
CARRS2_Baseline,religion,proportion,8.601313007677756,Grouped,Other
CARRS2_Baseline,religion,freq,773,Grouped,Other
CARRS1_Baseline,carrs,proportion,100,Grouped,1
CARRS1_Baseline,carrs,freq,9628,Grouped,1
CARRS1_Followup,carrs,proportion,100,Grouped,1
CARRS1_Followup,carrs,freq,6870,Grouped,1
CARRS2_Baseline,carrs,proportion,100,Grouped,2
CARRS2_Baseline,carrs,freq,8987,Grouped,2
CARRS1_Baseline,fup,proportion,100,Grouped,0
CARRS1_Baseline,fup,freq,9628,Grouped,0
CARRS1_Followup,fup,proportion,100,Grouped,4
CARRS1_Followup,fup,freq,6870,Grouped,4
CARRS2_Baseline,fup,proportion,100,Grouped,0
CARRS2_Baseline,fup,freq,8987,Grouped,0
